[2025-07-22 22:32:50Client connected: /127.0.0.1
[2025-07-22 22:32:53Command from /127.0.0.1: hello
[2025-07-22 22:32:58Command from /127.0.0.1: hiii
[2025-07-28 16:03:14STORE key: id6, value: id6 value6
[2025-07-28 16:03:14STORE key: id29, value: id29 value29
[2025-07-28 16:03:14STORE key: id30, value: id30 value30
[2025-07-28 16:03:14STORE key: id27, value: id27 value27
[2025-07-28 16:03:14STORE key: id24, value: id24 value24
[2025-07-28 16:03:14STORE key: id26, value: id26 value26
[2025-07-28 16:03:14STORE key: id34, value: id34 value34
[2025-07-28 16:03:14STORE key: id35, value: id35 value35
[2025-07-28 16:03:14STORE key: id32, value: id32 value32
[2025-07-28 16:03:14STORE key: id40, value: id40 value40
[2025-07-28 16:03:14STORE key: id38, value: id38 value38
[2025-07-28 16:03:14STORE key: id36, value: id36 value36
[2025-07-28 16:03:14STORE key: id25, value: id25 value25
[2025-07-28 16:03:14STORE key: id33, value: id33 value33
[2025-07-28 16:03:14STORE key: id39, value: id39 value39
[2025-07-28 16:03:14STORE key: id21, value: id21 value21
[2025-07-28 16:03:14STORE key: id37, value: id37 value37
[2025-07-28 16:03:14STORE key: id22, value: id22 value22
[2025-07-28 16:03:14STORE key: id23, value: id23 value23
[2025-07-28 16:03:15GET key: id24, result: id24 value24
[2025-07-28 16:03:15GET key: id26, result: id26 value26
[2025-07-28 16:03:15GET key: id35, result: id35 value35
[2025-07-28 16:03:15GET key: id28, result: id28 value28
[2025-07-28 16:03:15GET key: id27, result: id27 value27
[2025-07-28 16:03:15GET key: id21, result: id21 value21
[2025-07-28 16:03:15GET key: id23, result: id23 value23
[2025-07-28 16:03:15GET key: id33, result: id33 value33
[2025-07-28 16:03:15GET key: id31, result: id31 value31
[2025-07-28 16:03:15GET key: id37, result: id37 value37
[2025-07-28 16:03:15GET key: id22, result: id22 value22
[2025-07-28 16:03:15GET key: id34, result: id34 value34
[2025-07-28 16:03:15GET key: id39, result: id39 value39
[2025-07-28 16:03:15GET key: id32, result: id32 value32
[2025-07-28 16:03:15GET key: id40, result: id40 value40
[2025-07-28 16:03:15GET key: id25, result: id25 value25
[2025-07-28 16:03:15GET key: id36, result: id36 value36
[2025-07-28 16:03:15GET key: id29, result: id29 value29
[2025-07-28 16:03:15GET key: id30, result: id30 value30
[2025-07-28 16:03:15GET key: id38, result: id38 value38
[2025-07-28 16:03:15STORE key: id46, value: id46 value46
[2025-07-28 16:03:15STORE key: id42, value: id42 value42
[2025-07-28 16:03:15STORE key: id44, value: id44 value44
[2025-07-28 16:03:15STORE key: id45, value: id45 value45
[2025-07-28 16:03:15STORE key: id43, value: id43 value43
[2025-07-28 16:03:15STORE key: id41, value: id41 value41
[2025-07-28 16:03:15STORE key: id48, value: id48 value48
[2025-07-28 16:03:15STORE key: id49, value: id49 value49
[2025-07-28 16:03:15STORE key: id50, value: id50 value50
[2025-07-28 16:03:15STORE key: id47, value: id47 value47
[2025-07-28 16:03:15GET key: id46, result: id46 value46
[2025-07-28 16:03:15GET key: id48, result: id48 value48
[2025-07-28 16:03:15GET key: id41, result: id41 value41
[2025-07-28 16:03:15GET key: id45, result: id45 value45
[2025-07-28 16:03:15GET key: id47, result: id47 value47
[2025-07-28 16:03:15GET key: id42, result: id42 value42
[2025-07-28 16:03:15GET key: id43, result: id43 value43
[2025-07-28 16:03:15GET key: id44, result: id44 value44
[2025-07-28 16:03:15GET key: id50, result: id50 value50
[2025-07-28 16:03:15GET key: id49, result: id49 value49
